KFCAustralia,2016-04-28T23:30:00+0000,41020489,110233818125_10154136104508126,2299,125,951,photo,Say it with us... "Mmmm brownies😛 " Our new Choc Brownie Krusher is ONLY $2 every day for Krusher Hour (2-5pm)! It's only around for the next two weeks 🏃🏽
KFCAustralia,2016-04-28T02:00:00+0000,41020489,110233818125_10154131866533126,2848,40,565,photo,You're the chips to my potato and gravy 😍 What's your #KFCHack?
KFCAustralia,2016-04-27T02:00:00+0000,41007774,110233818125_10154129684513126,7650,235,1285,photo,Had Hot & Spicy yet? Try it now in the $5 Box with one piece of Hot & Spicy  one Wicked Wing  potato & gravy  chips and Pepsi Max.
KFCAustralia,2016-04-26T00:23:20+0000,41000298,110233818125_10154129623713126,4223,333,1438,photo,Four ancient Houses battle for the throne of Kentuckeros… Who will you pledge your allegiance to? #ASongOfFireAndSpice #GameOfThrones
KFCAustralia,2016-04-21T23:00:00+0000,40913154,110233818125_10154119217308126,909,51,976,video,Our NEW Choc Brownie Krusher is HERE. Only $2 during Krusher Hour  from 2-5pm! Day = made.
KFCAustralia,2016-04-21T04:00:00+0000,40913154,110233818125_10154112350248126,468,38,606,video,When you're counting down the hours 'til you can go get KFC… 😞🕓
KFCAustralia,2016-04-19T02:00:00+0000,40861175,110233818125_10154077533663126,1948,43,695,photo,Think fast! What would you reach for first? 😮
KFCAustralia,2016-04-18T23:01:27+0000,40849221,110233818125_10154113881318126,7759,590,2984,photo,Get the Hot & Spicy $5 box with one piece of Hot & Spicy  one Wicked Wing  potato & gravy  chips  and Pepsi.
KFCAustralia,2016-04-18T02:00:00+0000,40849221,110233818125_10154077529568126,128,6,59,photo,KFC Worker: "Enjoy your meal" Me: "Thanks  you too!" Me: ...😱  Oops! Have you ever done this?
KFCAustralia,2016-04-16T04:00:00+0000,40829912,110233818125_10154106053038126,82,3,40,photo,Lunch plans sorted 👌
KFCAustralia,2016-04-14T05:30:00+0000,40799872,110233818125_10154013179993126,1130,23,159,photo,Hurry! It’s your last chance to catch a Caramel Popcorn Krusher before they're all gone on Monday! 😱 ⌛️
KFCAustralia,2016-04-14T01:09:04+0000,40799872,110233818125_10154103059828126,3008,7602,38671,photo,You know what to do... 😉
KFCAustralia,2016-04-13T03:00:00+0000,40778387,110233818125_10154058179973126,663,46,177,link,You’ve gotta be quick to get our chips for just $1... Ends MONDAY!
KFCAustralia,2016-04-12T23:30:00+0000,40760864,110233818125_10154077479673126,771,20,88,photo,When you've got #KFC on your mind… Happy #ScrabbleDay 😉
KFCAustralia,2016-04-11T23:00:00+0000,40744617,110233818125_10154095382383126,528,83,929,video,Just one week left before the lights go out on the Zinger Black! Get yours before it disappears! 😱
KFCAustralia,2016-04-11T02:00:00+0000,40744617,110233818125_10154013043593126,1673,56,666,photo,True friendship is leaving your mate with your chips  and trusting them not to eat them! 😊 Who would you trust?
KFCAustralia,2016-04-09T02:00:00+0000,40720012,110233818125_10154077352298126,1608,74,614,link,How many bites would it take you to finish this burger?
McDonaldsAU,2016-07-07T14:00:00+0000,65771055,179866158722992_1115798595129739,642,22,131,video,Coffee you can count on. No matter what time your “day” begins. McCafé Drive-Thru  open 24 hours.
McDonaldsAU,2016-07-07T00:30:00+0000,65771055,179866158722992_1132020600174205,742,55,202,link,Hot Fudge Sundae  Chocolate Shake  and Chocolate Pie! Oh my! It’s International Chocolate Day  which one of our lip-smackingly delicious chocolaty desserts will you celebrate with?
McDonaldsAU,2016-07-06T14:01:00+0000,65735023,179866158722992_1127693940606871,139,5,43,video,Our NEW Gourmet Brekkie Rolls go with our finest blend of Arabica beans just perfectly. Try this delicious duo for yourself at McCafé.
McDonaldsAU,2016-07-05T14:01:00+0000,65689227,179866158722992_1112913468751585,85,4,18,video,What’s hot this winter? Layers! Test out your food styling skills with a variety of gourmet ingredients including Swiss cheese  fancy long pickles and 100% Aussie Angus beef. Available now at Create Your Taste.
McDonaldsAU,2016-07-04T20:00:00+0000,65655078,179866158722992_1115793015130297,251,8,69,photo,Our Barista Alexis has a fave combo. She creates an affogato by adding an espresso to our delicious soft serve  along with a slice of toasted pineapple & coconut loaf on the side. Sounds good to us.
McDonaldsAU,2016-07-04T00:30:00+0000,65655078,179866158722992_1127680470608218,2834,152,2558,photo,Our value has been pushed to mind-boggling heights with 24 golden  crispy Chicken McNuggets for $9.95! Better be quick  only one more week before this deal gets the heave-ho!
McDonaldsAU,2016-07-02T14:01:00+0000,65621426,179866158722992_1125342024175396,383,5,69,link,You’re truly a pioneer Kate! Having your Hotcakes at night saves you time in the morning for...well more Hotcakes.
McDonaldsAU,2016-06-30T14:01:00+0000,65578404,179866158722992_1112912775418321,295,28,107,video,Create the ultimate veggie burger with delightfully squeaky  grilled halloumi. New to Create Your Taste and ready to order!
McDonaldsAU,2016-06-28T14:01:01+0000,65522450,179866158722992_1125398847503047,13343,1665,15308,photo,Our very own wonder of the world. 24 golden Chicken McNuggets for only $9.95! You won't have to travel far for this world famous feast  but you better be quick before our offer runs out! Find your nearest Macca's now http://macc.as/24mcn
McDonaldsAU,2016-06-27T14:01:00+0000,65505486,179866158722992_1124857987557133,243,17,88,video,Our NEW Gourmet Tomato Relish Brekkie Roll has finally found its soul mate with our delicious McCafé soy latte.
McDonaldsAU,2016-06-26T20:00:00+0000,65486881,179866158722992_1115790908463841,777,23,134,photo,Jonathan is originally from Texas but now lives in the beautiful town of Hobart. He has a whole bunch of devoted regulars  and believes coffee is best served with a chat.
McDonaldsAU,2016-06-26T14:01:00+0000,65486881,179866158722992_1123418604367738,134,12,62,video,Build a veggie burger that would satisfy the strictest carnivore  with delicious authentic grilled halloumi  juicy pineapple and tangy guacamole.
McDonaldsAU,2016-06-25T14:01:00+0000,65467064,179866158722992_1120369581339307,312,17,99,link,Be more like Jackson and give in to that All Day Breakfast luuurve we know you’re feeling.
McDonaldsAU,2016-06-21T14:01:00+0000,65320944,179866158722992_1123444607698471,511,113,279,video,Grab a napkin because the last tasty episode of ‘Good Gravy’ is finally here. Can’t imagine a world without Russ and Uma? Then make sure you grab a box of Gravy Loaded Fries from McDonald’s today.
McDonaldsAU,2016-06-20T14:01:00+0000,65293709,179866158722992_1121005021275763,57,0,28,video,Looking for the perfect breakfast? Try our NEW Smokey BBQ Brekkie Roll with our barista-made latté  now available at McCafé Drive-Thru.
McDonaldsAU,2016-06-20T14:01:00+0000,65293709,179866158722992_1122860827756849,309,12,40,link,It may be the shortest day of the year  but that doesn’t mean you can’t McCafé all day! Our barista made coffee is available morning  noon and night.
McDonaldsAU,2016-06-19T21:00:01+0000,65271174,179866158722992_1115743798468552,1069,96,574,photo,Our baristas love adding a twist to old-school favourites during break-time. Here’s an affogato  McCafé style. Wanna try it for yourself? Order a classic McDonald’s soft serve  and top with your own McCafe espresso.
McDonaldsAU,2016-06-18T14:01:00+0000,65247646,179866158722992_1120369038006028,323,5,53,link,TBH there’d be no All Day Breakfast without people like you Caitlyn! So let’s celebrate the only way we know how  by having breakfast for dinner!
